id,name,email,role
1,Phyllis Jast,Madie21@yahoo.com,administrator
2,Jeremiah Carroll,Hal_Kris@hotmail.com,student
3,Kelvin Trantow,Litzy_Powlowski47@gmail.com,instructor
4,Melody Jast DDS,George.Bahringer28@yahoo.com,administrator
5,Tasha Johnston,Alexandra_Koss63@gmail.com,instructor
6,Beulah Grant,Mario.DuBuque21@gmail.com,student
7,Samantha Gulgowski,Kaylah54@gmail.com,student
8,Timmy Pfannerstill DDS,Rosalia_Gerlach@hotmail.com,student
9,Willard Wolf,Emil_Wilderman@gmail.com,student
10,Ms. Kathleen Bode,Lukas_Maggio@hotmail.com,instructor
